4,Male,174,96
2,Male,189,87
4,Female,185,110
3,Female,195,104
3,Male,149,61
3,Male,189,104
5,Male,147,92
5,Male,154,111
3,Male,174,90
4,Female,169,103
2,Male,195,81
4,Female,159,80
3,Female,192,101
2,Male,155,51
2,Male,191,79
5,Female,153,107
5,Female,157,110
5,Male,140,129
5,Male,144,145
5,Male,172,139
5,Male,157,110
5,Female,153,149
4,Female,169,97
5,Male,185,139
2,Female,172,67
3,Female,151,64
3,Male,190,95
1,Male,187,62
5,Female,163,159
5,Male,179,152
5,Male,153,121
1,Male,178,52
1,Female,195,65
5,Female,160,131
5,Female,157,153
4,Female,189,132
3,Female,197,114
4,Male,144,80
5,Female,171,152
2,Female,185,81
4,Female,175,120
5,Female,149,108
2,Male,157,56
5,Male,161,118
4,Female,182,126
2,Male,185,76
4,Female,188,122
4,Male,181,111
3,Male,161,72
5,Male,140,152
5,Female,168,135
1,Female,176,54
5,Male,163,110
4,Male,172,105
4,Male,196,116
3,Female,187,89
4,Male,172,92
5,Male,178,127
3,Female,164,70
5,Male,143,88
0,Female,191,54
5,Female,141,143
0,Male,193,54
2,Male,190,83
5,Male,175,135
5,Female,179,158
4,Female,172,96
2,Female,168,59
4,Female,164,82
4,Female,194,136
2,Female,153,51
4,Male,178,117
5,Male,141,80
2,Male,180,75
3,Female,185,100
4,Female,197,154
4,Male,165,104
4,Female,168,90
4,Female,176,122
0,Male,181,51
3,Male,164,75
5,Female,166,140
3,Female,190,105
4,Male,186,118
5,Male,168,123
0,Male,198,50
5,Female,175,141
5,Male,145,117
5,Female,159,104
5,Female,185,140
5,Female,178,154
3,Female,183,96
3,Female,194,111
2,Male,177,61
4,Male,197,119
5,Female,170,156
4,Male,142,69
5,Male,160,139
1,Male,195,69
0,Female,190,50
4,Male,199,156
5,Male,154,105
5,Male,161,155
4,Female,198,145
4,Female,192,140
4,Male,195,126
5,Male,166,160
5,Male,159,154
4,Female,181,106
3,Male,149,66
4,Female,150,70
5,Female,146,157
4,Male,190,135
2,Female,192,90
4,Female,177,96
3,Male,148,60
2,Female,165,57
5,Female,146,104
5,Male,144,108
5,Female,176,156
4,Female,168,87
4,Male,187,122
4,Male,187,138
5,Female,184,160
5,Female,158,149
4,Male,158,96
4,Male,194,115
4,Female,145,79
5,Male,182,151
2,Male,154,54
5,Female,168,139
2,Female,187,70
5,Female,158,153
4,Female,167,110
5,Female,171,155
5,Female,183,150
5,Female,190,156
3,Male,194,108
5,Male,171,147
5,Male,159,124
2,Female,169,54
4,Female,167,85
5,Male,180,149
5,Male,163,123
5,Male,140,79
4,Male,197,125
3,Male,194,106
5,Female,140,146
3,Male,195,98
3,Female,168,115
0,Female,196,50
3,Male,140,52
3,Female,150,60
5,Female,168,140
5,Female,155,111
4,Female,179,103
3,Female,182,84
5,Male,168,160
3,Female,187,102
4,Male,181,105
2,Male,199,99
2,Female,184,76
3,Male,192,101
5,Female,182,143
4,Female,172,111
2,Male,181,78
4,Male,176,109
5,Female,156,106
3,Female,151,67
2,Female,188,80
4,Male,187,136
5,Male,174,138
5,Male,167,151
4,Female,196,131
4,Male,197,149
4,Female,185,119
4,Female,170,102
3,Female,181,94
5,Female,166,126
3,Male,188,100
3,Female,162,74
4,Male,177,117
4,Male,162,97
2,Male,180,73
3,Female,192,108
3,Male,165,80
5,Female,167,135
3,Female,182,84
5,Female,161,134
4,Male,158,95
5,Male,141,85
5,Male,154,100
4,Male,165,105
5,Female,142,137
5,Male,141,94
5,Male,145,108
4,Male,157,74
4,Female,177,117
5,Female,166,144
5,Male,193,151
1,Male,184,57
3,Male,179,93
4,Female,156,89
4,Male,182,104
5,Male,145,160
4,Female,150,87
5,Male,145,99
4,Female,196,122
3,Male,191,96
4,Female,148,67
4,Female,150,84
5,Male,148,155
5,Female,153,146
5,Female,196,159
0,Female,185,52
5,Female,171,131
5,Female,143,118
5,Female,142,86
5,Female,141,126
5,Male,159,109
2,Female,173,82
5,Male,183,138
4,Female,152,90
5,Male,178,140
0,Male,188,54
5,Female,155,144
3,Male,166,70
4,Male,188,123
5,Female,171,120
5,Male,179,130
4,Female,186,137
2,Female,153,78
3,Female,184,86
3,Female,177,81
4,Male,145,78
3,Male,170,81
5,Male,181,141
5,Male,165,155
2,Female,174,65
5,Female,146,110
3,Male,178,85
2,Male,166,61
1,Male,191,62
5,Female,177,155
0,Female,183,50
5,Male,151,114
3,Male,182,98
5,Female,142,159
3,Female,188,90
4,Male,161,89
3,Male,153,70
5,Male,140,143
5,Male,169,141
5,Female,162,159
5,Male,183,147
2,Female,162,58
4,Female,172,109
5,Female,150,119
5,Female,169,145
4,Female,184,132
5,Male,159,104
5,Male,163,131
5,Male,156,137
2,Female,157,52
4,Male,147,84
5,Male,141,86
5,Male,173,139
5,Male,154,145
5,Male,168,148
1,Male,168,50
5,Male,145,130
5,Male,152,103
4,Female,187,121
0,Female,163,57
3,Male,178,83
3,Female,187,94
4,Female,179,114
2,Male,190,80
3,Male,172,75
1,Male,188,57
1,Male,193,65
5,Female,147,126
5,Female,147,94
4,Male,166,107
4,Female,192,139
4,Male,181,139
4,Male,150,74
5,Male,178,160
2,Female,156,52
5,Male,149,100
4,Male,156,74
